"time [s]"	"region"	"quantity [m(3)]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
0	"region_A"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	"region_B"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".left_boundary"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".right_boundary"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".top_boundary"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".bottom_boundary"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	"region_A"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	"region_B"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".left_boundary"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".right_boundary"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".top_boundary"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
3	".bottom_boundary"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
